id,rank,name,ticker,price,price_1h,price_24h,price_7d,price_30d,price_90d,marketcap,dominance,diluted_cap,volume24h,volume24_dollar,volume24_token,volume24_mrkt_pct,circulating,circulating_w_missing,max_supply,pairs,tags,platform,date_added,age,update_date,update_time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Bitcoin,BTC,23350.35,1.52,0.62,11.7,21.95,-40.31,4.46237E+11,41.227,4.90357E+11,9.45,29265995189,1253343,0.066,19110506,19110506,21000000,9659,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",,28/4/2013,112,2/8/2022,16:57:00
1027,2,Ethereum,ETH,1665.65,2.32,0.51,20.79,57.56,-41.62,2.02879E+11,18.742,2.02879E+11,25.7,20874158658,12532140,0.103,121801521,121801521,0,5886,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,7/8/2015,84,2/8/2022,16:57:00
825,3,Tether,USDT,1,0.01,0,0.02,0.11,0.02,66321053298,6.127,68172776626,3.44,55914792828,55914792828,0.843,66307627907,68158976391,0,37082,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",Ethereum,25/2/2015,90,2/8/2022,16:57:00
3408,4,USD Coin,USDC,1,-0.01,0,0.01,-0.01,0.03,54486788484,5.034,54486788484,7.37,8783949919,8783949919,0.161,54482488517,54482488517,0,5102,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",Ethereum,8/10/2018,46,2/8/2022,16:57:00
1839,5,BNB,BNB,290.17,1.81,2.15,20.1,34.25,-26.09,46814566801,4.325,58033174090,12.76,1588624988,5474808,0.034,161337261,161337261,200000000,1045,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",,25/7/2017,61,2/8/2022,16:57:00
52,6,XRP,XRP,0.377393328,1.14,0.04,15.06,19.81,-38.89,18244363850,1.686,37739332806,-3.18,1221015337,3235391953,0.067,48343101197,99989535142,1E+11,784,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",,4/8/2013,108,2/8/2022,16:57:00
4687,7,Binance USD,BUSD,0.999935984,-0.02,0.06,-0.02,0.04,-0.04,17919635132,1.655,17919635132,-3.54,6786432487,6786866955,0.379,17920782348,17920782348,0,4310,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",BNB,20/9/2019,35,2/8/2022,16:57:00
2010,8,Cardano,ADA,0.507652847,1.16,-1.22,11.28,13.02,-38.94,17134585736,1.583,22844378094,-9.46,728870766,1435766136,0.043,33752565071,34512850429,45000000000,531,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",,1/10/2017,58,2/8/2022,16:57:00
5426,9,Solana,SOL,42.17,1.84,0.49,19.58,29.32,-51.71,14613092254,1.35,21575392688,-5.89,1170359782,27753374,0.08,346520026,511616946,0,355,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,10/4/2020,28,2/8/2022,16:57:00
74,10,Dogecoin,DOGE,0.068253594,1.34,-0.28,12.22,3.85,-47.92,9055256459,0.837,9055256459,-16.85,405321723,5938467126,0.045,1.32671E+11,1.32671E+11,0,523,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,15/12/2013,104,2/8/2022,16:57:00
6636,11,Polkadot,DOT,8.18,2.06,-1.86,23.61,21.49,-46.28,9019260834,0.833,9961593323,-25.02,654733661,80040790,0.073,1102829785,1218053455,0,375,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,19/8/2020,24,2/8/2022,16:57:00
4943,12,Dai,DAI,1,-0.05,0.06,0.03,-0.02,0.02,7425801495,0.686,7425801495,13.61,922513206,922513206,0.124,7425439251,7425439251,0,1062,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",Ethereum,22/11/2019,33,2/8/2022,16:57:00
3890,13,Polygon,MATIC,0.898947323,1.63,-1.27,21.13,96.22,-18.94,7222865491,0.667,8989473225,-10.05,724210464,805620581,0.1,8034803943,10000000000,10000000000,437,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,28/4/2019,40,2/8/2022,16:57:00
5805,14,Avalanche,AVAX,23.76,2.56,1.15,18.56,47.76,-61.25,6757653055,0.624,17108619185,0.96,576887929,24279795,0.085,284389415,404229626,720000000,291,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,13/7/2020,25,2/8/2022,16:57:00
5994,15,Shiba Inu,SHIB,1.20E-05,1.39,0.64,15.3,20.89,-41.84,6592711351,0.609,7081065114,-40.01,402315504,3.35062E+13,0.061,5.49063E+14,5.89735E+14,0,379,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",Ethereum,1/8/2020,24,2/8/2022,16:57:00
